;statut
AhouatiEnd-32;2
AhouatiEnd1-1;2
AhouatiEnd1-10;2
AhouatiEnd1-11;2
AhouatiEnd1-12;2
AhouatiEnd1-13;2
AhouatiEnd1-14;2
AhouatiEnd1-15;2
AhouatiEnd1-16;2
AhouatiEnd1-17;2
AhouatiEnd1-18;2
AhouatiEnd1-19;2
AhouatiEnd1-2;2
AhouatiEnd1-20;2
AhouatiEnd1-21;2
AhouatiEnd1-22;2
AhouatiEnd1-3;2
AhouatiEnd1-4;2
AhouatiEnd1-5;2
AhouatiEnd1-6;2
AhouatiEnd1-7;2
AhouatiEnd1-8;2
AhouatiEnd1-9;2
AhouatiEnd2-23;2
AhouatiEnd2-24;2
AhouatiEnd2-25;2
AhouatiEnd2-26;2
AhouatiEnd2-27;2
AhouatiEnd2-28;2
AhouatiEnd2-29;2
AhouatiEnd2-30;2
AhouatiEnd2-31;2
AhouatiEnd2-32;2
AkoureTem1-1;0
AkoureTem1-10;0
AkoureTem1-11;0
AkoureTem1-12;0
AkoureTem1-2;0
AkoureTem1-3;0
AkoureTem1-4;0
AkoureTem1-5;0
AkoureTem1-6;0
AkoureTem1-7;0
AkoureTem1-8;0
AkoureTem1-9;0
AkoureTem2-1;0
AkoureTem2-10;0
AkoureTem2-11;0
AkoureTem2-12;0
AkoureTem2-13;0
AkoureTem2-14;0
AkoureTem2-15;0
AkoureTem2-16;0
AkoureTem2-17;0
AkoureTem2-18;0
AkoureTem2-2;0
AkoureTem2-3;0
AkoureTem2-4;0
AkoureTem2-5;0
AkoureTem2-6;0
AkoureTem2-7;0
AkoureTem2-8;0
AkoureTem2-9;0
AkoureTem3-1;0
AkoureTem3-10;0
AkoureTem3-2;0
AkoureTem3-3;0
AkoureTem3-4;0
AkoureTem3-5;0
AkoureTem3-6;0
AkoureTem3-7;0
AkoureTem3-8;0
AkoureTem3-9;0
AkoureTem4-1;0
AkoureTem4-10;0
AkoureTem4-11;0
AkoureTem4-12;0
AkoureTem4-13;0
AkoureTem4-14;0
AkoureTem4-15;0
AkoureTem4-16;0
AkoureTem4-17;0
AkoureTem4-18;0
AkoureTem4-2;0
AkoureTem4-3;0
AkoureTem4-4;0
AkoureTem4-5;0
AkoureTem4-6;0
AkoureTem4-7;0
AkoureTem4-8;0
AkoureTem4-9;0
AkoureTem5-1;0
AkoureTem5-10;0
AkoureTem5-2;0
AkoureTem5-3;0
AkoureTem5-4;0
AkoureTem5-5;0
AkoureTem5-6;0
AkoureTem5-7;0
AkoureTem5-8;0
AkoureTem5-9;0
BATEGUEDIAEnd1-1;2
BATEGUEDIAEnd1-10;2
BATEGUEDIAEnd1-11;2
BATEGUEDIAEnd1-12;2
BATEGUEDIAEnd1-13;2
BATEGUEDIAEnd1-14;2
BATEGUEDIAEnd1-15;2
BATEGUEDIAEnd1-16;2
BATEGUEDIAEnd1-17;2
BATEGUEDIAEnd1-18;2
BATEGUEDIAEnd1-19;2
BATEGUEDIAEnd1-2;2
BATEGUEDIAEnd1-20;2
BATEGUEDIAEnd1-21;2
BATEGUEDIAEnd1-22;2
BATEGUEDIAEnd1-23;2
BATEGUEDIAEnd1-24;2
BATEGUEDIAEnd1-25;2
BATEGUEDIAEnd1-26;2
BATEGUEDIAEnd1-27;2
BATEGUEDIAEnd1-28;2
BATEGUEDIAEnd1-29;2
BATEGUEDIAEnd1-3;2
BATEGUEDIAEnd1-30;2
BATEGUEDIAEnd1-31;2
BATEGUEDIAEnd1-32;2
BATEGUEDIAEnd1-33;2
BATEGUEDIAEnd1-34;2
BATEGUEDIAEnd1-35;2
BATEGUEDIAEnd1-36;2
BATEGUEDIAEnd1-37;2
BATEGUEDIAEnd1-38;2
BATEGUEDIAEnd1-39;2
BATEGUEDIAEnd1-4;2
BATEGUEDIAEnd1-40;2
BATEGUEDIAEnd1-41;2
BATEGUEDIAEnd1-42;2
BATEGUEDIAEnd1-43;2
BATEGUEDIAEnd1-44;2
BATEGUEDIAEnd1-45;2
BATEGUEDIAEnd1-46;2
BATEGUEDIAEnd1-47;2
BATEGUEDIAEnd1-48;2
BATEGUEDIAEnd1-49;2
BATEGUEDIAEnd1-5;2
BATEGUEDIAEnd1-50;2
BATEGUEDIAEnd1-51;2
BATEGUEDIAEnd1-52;2
BATEGUEDIAEnd1-6;2
BATEGUEDIAEnd1-7;2
BATEGUEDIAEnd1-8;2
BATEGUEDIAEnd1-9;2
BATEGUEDIAEnd2-1;2
BATEGUEDIAEnd2-10;2
BATEGUEDIAEnd2-11;2
BATEGUEDIAEnd2-12;2
BATEGUEDIAEnd2-13;2
BATEGUEDIAEnd2-14;2
BATEGUEDIAEnd2-15;2
BATEGUEDIAEnd2-16;2
BATEGUEDIAEnd2-17;2
BATEGUEDIAEnd2-18;2
BATEGUEDIAEnd2-19;2
BATEGUEDIAEnd2-2;2
BATEGUEDIAEnd2-20;2
BATEGUEDIAEnd2-21;2
BATEGUEDIAEnd2-22;2
BATEGUEDIAEnd2-23;2
BATEGUEDIAEnd2-24;2
BATEGUEDIAEnd2-25;2
BATEGUEDIAEnd2-26;2
BATEGUEDIAEnd2-27;2
BATEGUEDIAEnd2-28;2
BATEGUEDIAEnd2-29;2
BATEGUEDIAEnd2-3;2
BATEGUEDIAEnd2-30;2
BATEGUEDIAEnd2-31;2
BATEGUEDIAEnd2-32;2
BATEGUEDIAEnd2-33;2
BATEGUEDIAEnd2-4;2
BATEGUEDIAEnd2-5;2
BATEGUEDIAEnd2-6;2
BATEGUEDIAEnd2-7;2
BATEGUEDIAEnd2-8;2
BATEGUEDIAEnd2-9;2
BodoFaib1-1;1
BodoFaib1-10;1
BodoFaib1-2;1
BodoFaib1-3;1
BodoFaib1-4;1
BodoFaib1-5;1
BodoFaib1-6;1
BodoFaib1-7;1
