;Abrus canescens;Abrus precatorius;Acmella caulirhiza;Acmella uliginosa;Acroceras gabunense;Acroceras zizanioides;Adenia cissampeloides;Adenia dinklagei;Adenia lobata;Aeschynomene afraspera;Aframomum alboviolaceum;Ageratum conyzoides;Albizia zygia;Alchornea cordifolia;Alchornea hirtella;Alstonia boonei;Alternanthera ramosissima;Alternanthera sessilis;Amaranthus spinosus;Amaranthus viridis;Ampelocissus gracilipes;Andropogon gayanus;Aneilema beniniense;Anthonotha macrophylla;Aspilia bussei;Astraea lobata;Asystasia gangetica;Axonopus compressus;Bacopa crenata;Bacopa floribunda;Bambusa vulgaris;Bidens pilosa;Bolboschoenus maritinus;Borreria latifolia;Brachiaria lata;Bridelia micrantha;Bulbostylis abortiva;Calopogonium mucunoides;Cardiospermum grandiflorum;Carica papaya;Cascabela thevetia;Cassia hirsuta;Cassia mimosoides;Cassia occidentalis;Cayratia gracilis;Ceiba pentandra;Cenchrus polystachios;Centrosema pubescens;Ceratophyllum demersum;Chamaecrista mimosoides;Chasmanthera dependens;Chenopodium caudatum;Christella dentata;Chromolaena odorata;Cissus aralioides;Cissus arguta;Cissus producta;Cleistopholis patens;Cleome rutidosperma;Coccinia barteri;Coix lacryma-jobi;Cola caricaefolia;Cola cordifolia;Colocasia esculenta;Combretum paniculatum;Combretum racemosum;Commelina benghalensis;Commelina capitata;Commelina diffusa;Commelina erecta;Costus afer;Costus phyllocephalus;Crinum jagus;Crotalaria retusa;Croton hirtus;Cucumis melo;Culcasia saxatilis;Cyathula prostrata;Cyclosorus oppositifolius;Cynodon dactylon;Cynometra megalophylla;Cyperus articulatus;Cyperus difformis;Cyperus digitatus;Cyperus dilatatus;Cyperus distans;Cyperus fertilis;Cyperus haspan;Cyperus imbricatus;Cyperus longifolius;Cyperus mariscus;Cyperus sphacelatus;Cyrtosperma senegalense;Dalbergia afzeliana;Desmodium adscendens;Desmodium policarpum;Desmodium salicifolium;Desmodium tortuosum;Desmodium triflorum;Desmodium velutinum;Digitaria ciliaris;Digitaria delicatula;Digitaria horizontalis;Dioscorea alata;Dioscorea burkilliana;Dioscorea minutiflora;Dracaena mannii;Dyschoriste nagchana;Echinochloa colona;Echinochloa pyramidalis;Eichhornia crassipes;Elaeis guineensis;Eleusine indica;Erigeron floribundus;Eupatorium africanum;Euphorbia heterophylla;Euphorbia hirta;Ficus asperifolia;Fimbristylis dichotoma;Floscopa africana;Flueggea virosa;Fuirena umbellata;Glinus oppositifolius;Gongronema latifolium;Grewia barombiensis;Griffonia simplicifolia;Halopegia azurea;Harungana madagascariensis;Heliotropium indicum;Hewittia malabarica;Hibiscus surattensis;Hibiscus tiliaceus;Hydrolea palustris;Hypolytrum corymbosum;Imperata cylindrica;Indigofera hirsuta;Indigofera podocarpa;Indigofera stenophylla;Ipomoea aquatica;Ipomoea asarifolia;Ipomoea batatas;Ipomoea blepharophylla;Ipomoea cairica;Ipomoea involucrata;Ipomoea lanceolata;Ipomoea mauritiana;Ipomoea sagittata;Ipomoea setifera;Ipomoea triloba;Justicia flava;Kyllinga erecta;Laportea aestuans;Laportea ovalifolia;Lasimorpha senegalensis;Lecaniodiscus cupanioodes;Leersia hexandra;Lemna minor;Lepistemon owariense;Leptadenia pyrotechnica;Leucaena glauca;Leucaena leucocephala;Lindernia crustacea;Lippia multiflora;Ludwigia abyssinica;Ludwigia erecta;Ludwigia grandiflora;Ludwigia hyssopifolia;Ludwigia leptocarpa;Ludwigia octovalvis;Ludwigia senegalensis;Luffa cylindrica;Lycopersicum macrocarpum;Mallotus oppositifolius;Mangifera indica;Manihot esculenta;Mapania heterophylla;Marantochloa leucantha;Mariscus cylindristachyus;Melanthera scandens;Melochia melissifolia;Merremia umbellata;Mezoneuron benthamianum;Mikania chevalieri;Mimosa pudica;Mitracarpus hirtus;Mitracarpus scaber;Mollugo nudicaulis;Momordica charantia;Mucuna pruriens;Nauclea latifolia;Nelsonia canescens;Nelumbo nucifera;Nephrolepis biserrata;Nymphaea lotus;Ocimum gratissimum;Oldenlandia affinis;Oldenlandia corymbosa;Oldenlandia macrophylla;Olyra latifolia;Ophiuros exaltatus;Oplismenus burmannii;Oplismenus hirtellus;Oryza sativa;Oxalis corniculata;Pancovia turbinata;Pandanus candellabrum;Panicum brevifolium;Panicum laxum;Panicum maximum;Panicum repens;Parquetina nigrescens;Paspalum conjugatum;Paspalum distichum;Paspalum scrobiculatum;Passiflora foetida;Paullinia pinnata;Pennisetum polystachyon;Pennisetum purpureum;Pentodon pentandrus;Pergularia daemia;Periploca nigrescens;Persicaria acuminata;Persicaria lanigera;Persicaria madagascariensis;Persicaria senegalensis;Phaseolus lunatus;Phaulopsis barteri;Phaulopsis ciliata;Phaulopsis falcisepala;Phoenix reclinata;Phyllanthus amarus;Phyllanthus muellerianus;Physalis angulata;Physalis anGustifolia;Piper guineense;Polygonum aviculare;Portulaca oleaceae;Pouzolzia guineensis;Pseudospondias macrocarpa;Psophocarpus palustris;Psychotria calva;Pterocarpus santalinoides;Pterygota macrocarpa;Pueraria phaseoloides;Pycreus flavescens;Pycreus lanceolatus;Pycreus macrostachyos;Raphia hookeri;Raphia sudanica;Rauvolfia vomitoria;Rhaphidophora africana;Rhaphiostylis beninensis;Rhigiocarya racemifera;Rhinacanthus virens;Rhynchospora corymbosa;Ricinus communis;Rottboellia cochinchinensis;Rottboellia exaltata;Sabicea discolor;Sacciolepis africana;Sacoglottis gabonensis;Sarcophrynium brachystachys;Schrankia leptocarpa;Scleria anomala;Scleria depressa;Scoparia dulcis;Secamone afzelii;Senna alata;Senna tora;Sesamum radiatum;Setaria barbata;Setaria longiseta;Setaria megaphylla;Setaria seriata;Sida acuta;Sida carpunifolia;Sida javensis;Solanum erianthum;Solanum torvum;Sopubia ramosa;Sorghum arundinaceum;Spermacoce latifolia;Spermacoce verticillata;Sphenoclea zeylanica;Spigelia anthelmia;Spilanthes filicaulis;Spilanthes uliginosa;Spondias mombin;Sporobolus pyramildalis;Sporobolus subglobosus;Stachytarpheta indica;Strophanthus sarmentosus;Struchium sparganophorum;Stylosanthes erecta;Synedrella nodiflora;Talinum triangulare;Telosma africana;Thalia geniculata;Thunbergia alata;Tithonia diversifolia;Tridax procambens;Tristemma coronatum;Tristemma hirtum;Triumfetta rhomboidea;Typha domingensis;Vernonia cinerea;Vigna racemosa;Virectaria procumbens;Voacanga africana;Voacanga thouarsii
AhouatiEnd-32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AhouatiEnd1-1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AhouatiEnd1-10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AhouatiEnd1-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AhouatiEnd1-12;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AhouatiEnd1-13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AhouatiEnd1-14;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AhouatiEnd1-15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AhouatiEnd1-16;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AhouatiEnd1-17;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AhouatiEnd1-18;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AhouatiEnd1-19;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
